episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
315,-225.2632,2.246,11.2444,0.68,17,8,25,6,19,-195.8393,16142.4004
316,-204.2724,1.9213,9.6197,0.68,17,8,25,2,23,-187.6891,13738.0215
317,-204.2148,1.9596,9.8121,0.72,18,7,25,4,21,-182.0325,13415.3438
318,-215.5414,2.0956,10.4919,0.68,17,8,25,5,20,-185.9634,14471.0273
319,-217.2334,2.1221,10.6227,0.68,17,8,25,4,21,-195.8947,15688.7773
320,-173.1332,1.7485,8.754,0.6364,14,8,22,2,20,-152.696,9244.6758
321,-237.0144,2.428,12.1539,0.68,17,8,25,4,21,-207.1745,17228.5371
322,-153.7686,1.3757,6.8898,0.6957,16,7,23,2,21,-140.6128,7789.0156
323,-185.8589,1.9459,9.7424,0.7391,17,6,23,3,20,-162.9998,11440.7021
324,-177.7808,1.7706,8.8645,0.6957,16,7,23,3,20,-164.2451,10545.709
325,-217.3483,2.1237,10.6317,0.68,17,8,25,5,20,-192.6141,15104.1592
326,-226.4244,2.2637,11.3344,0.68,17,8,25,3,22,-194.9164,16070.543
327,-205.3767,1.938,9.7053,0.68,17,8,25,6,19,-186.2801,13807.5742
328,-234.9801,2.3821,11.9237,0.64,16,9,25,4,21,-204.077,17223.6816
329,-199.1585,1.8422,9.2238,0.68,17,8,25,3,22,-175.2222,12269.3076
330,-192.2169,2.0444,10.2345,0.7391,17,6,23,2,21,-171.5131,11997.3584
331,-205.791,1.9449,9.7372,0.68,17,8,25,6,19,-185.6976,13687.3633
332,-218.1324,2.1361,10.6923,0.68,17,8,25,4,21,-185.8691,14604.124
333,-185.2607,1.6828,8.4265,0.72,18,7,25,6,19,-164.5952,10703.4111
334,-211.5139,2.1884,10.9541,0.7083,17,7,24,2,22,-180.5114,13480.1172
335,-220.4913,2.3273,11.6489,0.7083,17,7,24,7,17,-182.6034,14123.7314
336,-238.3087,2.4361,12.1978,0.64,16,9,25,5,20,-196.8687,16668.6465
337,-237.94,2.4173,12.1012,0.6,15,10,25,6,19,-190.5177,15842.0889
338,-161.0272,1.716,8.5946,0.7727,17,5,22,4,18,-146.5526,8330.2871
339,-228.3371,2.2222,11.1228,0.56,14,11,25,4,21,-194.6348,15743.3379
340,-194.8172,1.7216,8.6208,0.64,16,9,25,4,21,-168.1667,11292.54
341,-182.8982,1.7449,8.7394,0.7083,17,7,24,3,21,-161.7197,10181.0684
342,-181.6549,1.7256,8.6432,0.7083,17,7,24,2,22,-152.6916,9986.4346
343,-200.0927,1.6904,8.4687,0.56,14,11,25,6,19,-177.7206,11530.8633
344,-243.4074,2.5379,12.7023,0.76,19,6,25,2,23,-214.351,18716.1426
345,-210.677,1.9394,9.7095,0.6,15,10,25,3,22,-178.4258,12758.457
346,-185.7119,1.5721,7.872,0.64,16,9,25,5,20,-164.5538,11044.2363
347,-207.3048,1.9679,9.8545,0.68,17,8,25,6,19,-171.0664,11846.5166
348,-188.0425,1.7234,8.6299,0.72,18,7,25,3,22,-165.4182,10961.251
349,-215.4032,2.1229,10.6301,0.72,18,7,25,6,19,-183.9937,13778.668
350,-217.8124,2.0997,10.512,0.64,16,9,25,5,20,-174.7695,13487.1289
351,-188.5823,1.7316,8.6692,0.72,18,7,25,4,21,-163.8179,10298.8252
352,-201.7271,1.9601,9.8161,0.76,19,6,25,6,19,-166.3353,12034.0996
353,-184.1839,1.6671,8.3478,0.72,18,7,25,9,16,-154.6234,9837.7119
354,-205.319,1.9758,9.8929,0.72,18,7,25,4,21,-175.0465,12671.9248
355,-224.1153,2.1747,10.8885,0.6,15,10,25,5,20,-183.4148,14195.3398
356,-205.1308,1.8914,9.469,0.64,16,9,25,5,20,-168.5438,11745.6387
357,-218.9001,2.0833,10.431,0.6,15,10,25,3,22,-176.8701,13100.9863
358,-233.5597,2.3746,11.8865,0.68,17,8,25,4,21,-189.9847,15652.2979
359,-189.6664,1.695,8.4892,0.68,17,8,25,5,20,-157.7034,10306.542
360,-211.6314,2.0356,10.1891,0.68,17,8,25,2,23,-186.8356,13877.2773
361,-209.1612,1.9128,9.5765,0.6,15,10,25,6,19,-174.8499,12554.4746
362,-219.3961,2.1549,10.7904,0.68,17,8,25,2,23,-185.3396,14313.1953
363,-165.5932,1.7869,8.9479,0.7727,17,5,22,2,20,-129.9457,7613.2012
364,-209.0338,1.9106,9.5654,0.6,15,10,25,4,21,-167.6708,12359.0762
365,-184.7006,1.9277,9.6529,0.7391,17,6,23,4,19,-154.0052,10241.6445
366,-193.429,1.699,8.5066,0.64,16,9,25,4,21,-156.4435,10394.3984
367,-195.0756,1.8263,9.1439,0.72,18,7,25,6,19,-154.2384,10159.3076
368,-184.4612,1.6145,8.0863,0.68,17,8,25,3,22,-153.0389,9677.0908
369,-184.3536,1.5497,7.7603,0.64,16,9,25,5,20,-154.097,9664.3457
370,-202.5743,1.8493,9.2587,0.64,16,9,25,3,22,-163.2434,11269.4258
371,-228.7912,2.3194,11.6085,0.72,18,7,25,3,22,-189.0927,14810.1289
372,-220.3643,2.1701,10.8653,0.68,17,8,25,3,22,-179.1057,14422.5059
373,-211.7422,1.9996,10.0129,0.64,16,9,25,7,18,-164.6245,11469.1533
374,-209.3278,2.0348,10.1857,0.72,18,7,25,7,18,-177.1534,12656.9639
375,-224.533,2.2353,11.1876,0.68,17,8,25,4,21,-182.2666,14250.7217
376,-223.7508,2.197,11.0005,0.64,16,9,25,5,20,-184.0304,14075.4463
377,-200.0004,1.8546,9.2892,0.68,17,8,25,7,18,-152.8761,10399.6348
378,-193.5093,1.7553,8.7863,0.68,17,8,25,1,24,-155.5083,10364.9482
379,-235.4124,2.389,11.9594,0.64,16,9,25,1,24,-190.3796,16009.1504
380,-239.2639,2.4627,12.3281,0.68,17,8,25,3,22,-191.392,16526.9551
381,-210.2011,1.9305,9.668,0.6,15,10,25,4,21,-169.2854,11915.6367
382,-215.9272,2.0685,10.357,0.64,16,9,25,7,18,-163.256,11542.6221
383,-226.4984,2.2858,11.4409,0.72,18,7,25,2,23,-185.7838,15054.2812
384,-229.8545,2.2753,11.392,0.6,15,10,25,3,22,-177.8197,14624.3838
385,-190.7693,1.809,9.057,0.76,19,6,25,3,22,-150.8688,9962.9922
386,-240.4012,2.471,12.3697,0.64,16,9,25,8,17,-177.7796,14420.2617
387,-200.5975,1.8647,9.3351,0.68,17,8,25,3,22,-156.1796,11147.7559
388,-216.8103,2.0465,10.2477,0.6,15,10,25,4,21,-165.8205,11685.2461
389,-231.6767,2.3453,11.7408,0.68,17,8,25,5,20,-186.6168,14627.1475
390,-226.2593,2.2384,11.2067,0.64,16,9,25,3,22,-175.0811,13057.0254
391,-207.3731,2.2569,11.2982,0.6957,16,7,23,7,16,-171.1795,11902.1553
392,-232.4171,2.3396,11.7131,0.64,16,9,25,7,18,-172.0949,12909.4785
393,-223.9291,2.3654,11.8371,0.6667,16,8,24,1,23,-172.0989,13507.6533
394,-215.6761,2.2297,11.1584,0.6667,16,8,24,5,19,-161.9509,11836.4453
395,-200.2281,1.8815,9.421,0.5833,14,10,24,8,16,-159.114,11045.7158
396,-221.1271,2.1823,10.9242,0.68,17,8,25,0,25,-179.3935,13928.5938
397,-213.687,2.0315,10.1728,0.64,16,9,25,5,20,-166.4202,12122.2012
398,-208.2594,1.9425,9.7264,0.64,16,9,25,4,21,-152.7261,10250.084
399,-231.3612,2.3222,11.6263,0.64,16,9,25,3,22,-170.4003,13531.9189
400,-226.2986,2.2823,11.4265,0.72,18,7,25,2,23,-173.9127,13714.2197
401,-195.9611,2.257,11.2983,0.7727,17,5,22,5,17,-154.0288,10271.8994
402,-240.2224,2.4679,12.355,0.64,16,9,25,5,20,-181.1595,14664.8086
403,-198.3874,1.7798,8.9147,0.64,16,9,25,3,22,-149.2167,9694.4189
404,-178.6817,1.6202,8.1165,0.6667,16,8,24,3,21,-135.8504,8142.0776
405,-178.3634,1.615,8.0903,0.6667,16,8,24,1,23,-137.7089,7965.3745
406,-204.9754,1.9325,9.6739,0.68,17,8,25,3,22,-160.6168,10840.749
407,-248.9245,2.6137,13.0802,0.72,18,7,25,4,21,-191.3999,17191.8691
408,-200.674,1.9075,9.5535,0.72,18,7,25,5,20,-142.4211,9366.7461
409,-209.6305,1.871,9.3645,0.56,14,11,25,3,22,-156.6059,10455.6953
410,-198.4689,1.831,9.1706,0.68,17,8,25,3,22,-143.3481,9078.3457
411,-200.4831,1.8148,9.0868,0.64,16,9,25,3,22,-150.8073,9545.4814
412,-207.2177,1.9253,9.6407,0.64,16,9,25,1,24,-148.4941,10567.3984
413,-221.1291,2.154,10.7848,0.64,16,9,25,5,20,-150.873,11553.291
414,-226.5181,2.2654,11.3416,0.68,17,8,25,4,21,-166.3217,12691.5928
415,-180.5223,1.4863,7.4454,0.64,16,9,25,3,22,-137.7695,8081.79
416,-207.2204,1.9667,9.8479,0.68,17,8,25,3,22,-153.0293,10860.7227
417,-190.6217,1.761,8.8184,0.72,18,7,25,4,21,-135.8306,8658.3779
418,-189.7369,1.8021,9.0256,0.6667,16,8,24,2,22,-129.8231,7816.0
419,-192.1301,1.8415,9.2224,0.6667,16,8,24,1,23,-133.5406,8239.3193
420,-217.9926,2.1038,10.5263,0.64,16,9,25,4,21,-164.6486,12317.9746
421,-219.8147,2.1609,10.823,0.68,17,8,25,4,21,-149.2152,10610.5439
422,-219.9484,2.1346,10.6877,0.64,16,9,25,4,21,-160.5676,11549.6475
423,-212.9153,1.9784,9.9059,0.6,15,10,25,5,20,-166.5488,11601.6201
424,-208.3052,2.1078,10.5525,0.6667,16,8,24,3,21,-149.3327,10049.1426
425,-232.1351,2.4997,12.5122,0.6667,16,8,24,1,23,-160.4507,12945.6201
426,-221.4495,2.1594,10.8111,0.64,16,9,25,4,21,-160.0013,11978.7822
427,-250.8384,2.6422,13.2282,0.64,16,9,25,2,23,-168.8185,14046.2979
428,-230.2615,2.3046,11.5357,0.64,16,9,25,3,22,-152.6113,11320.5166
429,-219.2494,2.1232,10.6302,0.64,16,9,25,5,20,-146.5325,10230.4922
430,-210.1119,1.9293,9.66,0.6,15,10,25,4,21,-143.9569,9310.373
431,-214.3657,2.0776,10.4008,0.68,17,8,25,4,21,-151.5684,10650.3135
432,-196.91,1.6976,8.502,0.6,15,10,25,2,23,-134.1356,8711.3271
433,-212.9638,2.0557,10.2924,0.68,17,8,25,4,21,-150.0125,10344.8604
434,-216.7823,2.1433,10.7308,0.72,18,7,25,2,23,-153.0235,10678.9697
435,-221.2173,2.1839,10.931,0.68,17,8,25,1,24,-155.7521,11320.2139
436,-174.0027,1.708,8.554,0.6957,16,7,23,5,18,-118.6391,6488.2417
437,-212.2548,2.0452,10.2374,0.68,17,8,25,3,22,-141.0854,10246.0498
438,-232.9281,2.3797,11.9109,0.72,18,7,25,4,21,-174.2032,13126.9551
439,-219.7397,2.0981,10.5046,0.6,15,10,25,2,23,-148.0006,10361.5586
440,-207.7185,1.8872,9.4501,0.6,15,10,25,9,16,-138.8592,9260.1123
441,-214.2995,2.0422,10.2229,0.64,16,9,25,1,24,-152.0205,10729.6885
442,-210.3124,2.1412,10.7174,0.6667,16,8,24,1,23,-149.1688,10646.8008
443,-229.4893,2.4566,12.2944,0.6667,16,8,24,3,21,-167.8105,12748.5273
444,-216.5573,2.0787,10.4089,0.64,16,9,25,4,21,-140.9863,9895.751
445,-204.0037,1.9567,9.7966,0.72,18,7,25,4,21,-140.511,9155.4336
446,-197.7741,1.8207,9.1167,0.68,17,8,25,3,22,-137.2264,8649.5762
447,-185.9506,1.7395,8.7144,0.6667,16,8,24,6,18,-110.9951,6593.0156
448,-207.6431,2.0963,10.4983,0.6667,16,8,24,5,19,-129.711,8489.1729
449,-173.2765,1.5314,7.672,0.6667,16,8,24,2,22,-114.884,6420.2192
450,-229.1509,2.2859,11.4445,0.64,16,9,25,2,23,-152.08,11520.2012
451,-199.8455,1.8036,9.0347,0.64,16,9,25,4,21,-123.2651,7680.2056
452,-193.0146,1.7471,8.7483,0.68,17,8,25,4,21,-130.2805,8138.7207
453,-197.2709,1.762,8.8226,0.64,16,9,25,3,22,-135.4616,8605.3525
454,-236.21,2.4152,12.0918,0.68,17,8,25,2,23,-155.0611,11144.3574
455,-234.3596,2.3868,11.9485,0.68,17,8,25,4,21,-175.0849,14317.3389
456,-207.1955,1.966,9.8461,0.68,17,8,25,4,21,-131.241,8751.4316
457,-214.145,2.0002,10.0137,0.6,15,10,25,3,22,-129.9359,8620.584
458,-204.8962,1.9308,9.668,0.68,17,8,25,4,21,-122.2635,8042.666
459,-153.4219,1.5985,8.0058,0.7727,17,5,22,5,17,-91.9269,4662.6113
460,-214.4992,2.0064,10.0448,0.6,15,10,25,5,20,-131.3661,8561.1309
461,-221.0078,2.1205,10.6157,0.6,15,10,25,3,22,-129.2704,9420.0146
462,-194.566,2.0462,10.245,0.6957,16,7,23,1,22,-137.8923,8695.5889
463,-225.8785,2.206,11.043,0.6,15,10,25,5,20,-138.2507,9741.7686
464,-216.2,1.9939,9.9822,0.56,14,11,25,4,21,-126.2172,8327.1494
465,-196.5682,1.7499,8.765,0.64,16,9,25,5,20,-121.1287,7298.1851
466,-225.2534,2.2459,11.2436,0.68,17,8,25,4,21,-142.1093,10882.6797
467,-230.9159,2.4963,12.4949,0.75,18,6,24,3,21,-149.9129,11300.3525
468,-223.0644,2.3815,11.921,0.75,18,6,24,5,19,-141.0566,9912.5264
469,-213.7741,2.0334,10.1798,0.64,16,9,25,1,24,-132.9731,9462.0107
470,-242.1927,2.5002,12.5171,0.64,16,9,25,2,23,-153.3348,12092.2842
471,-212.6323,1.9738,9.881,0.6,15,10,25,4,21,-129.9929,9199.0107
472,-185.0828,1.8901,9.4652,0.6957,16,7,23,6,17,-105.0022,6215.0884
473,-211.7635,1.9586,9.8048,0.6,15,10,25,7,18,-130.5005,9064.0488
474,-198.7931,1.8365,9.1955,0.68,17,8,25,4,21,-114.3368,7236.8076
475,-206.3087,1.9106,9.5659,0.64,16,9,25,3,22,-122.4737,8037.8105
476,-217.7401,2.1302,10.6618,0.68,17,8,25,7,18,-134.9514,9807.4941
477,-228.9048,2.2591,11.3084,0.6,15,10,25,6,19,-136.3578,10148.2949
478,-222.289,2.1729,10.8803,0.64,16,9,25,2,23,-139.2667,10443.0908
479,-195.4953,1.7852,8.9404,0.68,17,8,25,4,21,-111.2141,6571.7764
480,-231.8638,2.3638,11.8333,0.72,18,7,25,4,21,-135.0353,10076.8369
481,-207.8481,1.9354,9.6927,0.64,16,9,25,4,21,-107.5579,6630.6538
482,-213.181,2.1873,10.9537,0.6667,16,8,24,5,19,-123.2535,8480.7686
483,-213.2778,2.1889,10.9617,0.6667,16,8,24,2,22,-126.9598,8438.4639
484,-221.9652,2.195,10.9891,0.68,17,8,25,8,17,-133.4261,9022.8926
485,-250.0604,2.6306,13.1645,0.56,14,11,25,7,18,-141.0651,11470.8447
486,-208.3823,2.0205,10.1168,0.72,18,7,25,2,23,-105.6941,7059.1255
487,-203.6203,1.8661,9.3449,0.64,16,9,25,4,21,-109.6717,6915.9238
488,-193.5926,1.7555,8.7933,0.68,17,8,25,5,20,-103.5917,6403.4771
489,-196.7388,1.8501,9.2657,0.72,18,7,25,6,19,-106.2426,6883.1006
490,-208.2756,1.9427,9.7277,0.64,16,9,25,4,21,-105.0785,7069.4375
491,-200.442,1.8141,9.0834,0.64,16,9,25,4,21,-103.0909,6554.373
492,-214.4024,2.0042,10.0365,0.6,15,10,25,4,21,-110.3107,7752.8394
493,-209.3671,2.0346,10.1889,0.72,18,7,25,4,21,-117.5378,8011.4326
494,-213.7284,2.033,10.1759,0.64,16,9,25,3,22,-106.8367,7312.5698
495,-192.0577,1.7322,8.6742,0.68,17,8,25,3,22,-112.8512,6897.877
496,-200.61,1.8651,9.336,0.68,17,8,25,3,22,-113.3117,7789.0825
497,-239.1394,2.4706,12.3649,0.72,18,7,25,6,19,-132.4666,10273.5938
498,-208.5407,1.9871,9.9501,0.68,17,8,25,3,22,-116.2676,8037.0527
499,-204.2882,1.8774,9.3997,0.64,16,9,25,3,22,-119.4665,7681.54
500,-188.6689,1.5526,7.7793,0.6,15,10,25,3,22,-93.9879,5336.4014
