episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
72,-222.8762,2.2087,11.0598,0.68,17,8,25,3,22,-218.9134,19182.3047
73,-181.2593,1.599,8.0061,0.625,15,9,24,6,18,-181.8399,12605.3643
74,-196.6804,1.8695,9.3588,0.625,15,9,24,6,18,-196.6112,14960.4219
75,-214.3772,2.0773,10.4019,0.68,17,8,25,7,18,-208.8547,17095.3945
76,-187.3478,1.8139,9.0838,0.7083,17,7,24,5,19,-190.5818,13485.1807
77,-186.2669,1.7971,9.0001,0.7083,17,7,24,5,19,-191.1328,13568.7422
78,-205.3807,1.8467,9.2448,0.6,15,10,25,6,19,-213.8012,15872.543
79,-210.7398,2.3312,11.6681,0.7391,17,6,23,5,18,-215.1109,17248.7383
80,-213.7686,2.0329,10.1795,0.64,16,9,25,4,21,-211.1772,17434.9277
81,-214.9598,2.0525,10.2775,0.64,16,9,25,6,19,-216.275,17756.1133
82,-220.3792,2.1705,10.8664,0.68,17,8,25,5,20,-227.1912,19140.2383
83,-204.8813,2.0038,10.0345,0.76,19,6,25,4,21,-208.5412,16020.5361
84,-208.8355,1.9517,9.7738,0.64,16,9,25,3,22,-214.0119,16573.3457
85,-212.1361,1.9647,9.8376,0.6,15,10,25,3,22,-217.7742,17392.7539
86,-213.929,2.2004,11.0149,0.6667,16,8,24,6,18,-222.5276,17714.3906
87,-215.2348,2.2218,11.1223,0.6667,16,8,24,9,15,-206.8665,17388.248
88,-224.2444,2.1451,10.7383,0.56,14,11,25,5,20,-210.9957,18314.1348
89,-213.6934,2.0318,10.1733,0.64,16,9,25,3,22,-207.7708,17169.7109
90,-200.3659,1.8125,9.0773,0.64,16,9,25,6,19,-211.6436,16128.5635
91,-188.7389,1.7332,8.6809,0.72,18,7,25,7,18,-196.1266,14395.3262
92,-215.9981,2.103,10.5271,0.68,17,8,25,9,16,-217.9102,18031.4805
93,-199.4664,1.8466,9.2478,0.68,17,8,25,2,23,-209.14,16501.8906
94,-231.217,2.3542,11.786,0.72,18,7,25,4,21,-242.2468,21471.0781
95,-218.6235,2.113,10.5787,0.64,16,9,25,2,23,-221.7282,18969.3652
96,-223.8375,2.1984,11.0076,0.64,16,9,25,2,23,-217.1594,19455.4277
97,-179.8378,1.6035,8.0301,0.72,18,7,25,4,21,-180.1512,12706.7178
98,-208.8896,2.0289,10.1535,0.72,18,7,25,5,20,-216.8495,17452.0234
99,-196.7263,1.9592,9.8096,0.7083,17,7,24,7,17,-203.3881,15346.1982
100,-191.2712,1.8747,9.3874,0.7083,17,7,24,7,17,-188.9792,13965.7305
101,-205.5632,1.9412,9.7196,0.68,17,8,25,4,21,-204.777,16282.7861
102,-218.2746,2.1076,10.5498,0.64,16,9,25,2,23,-217.2225,17951.4219
103,-204.2861,1.8773,9.3996,0.64,16,9,25,5,20,-204.3506,15986.7676
104,-198.8691,1.838,9.2013,0.68,17,8,25,7,18,-211.7864,16305.9199
105,-210.9546,1.895,9.4893,0.56,14,11,25,4,21,-201.5299,16038.2412
106,-223.9993,2.2016,11.0207,0.64,16,9,25,6,19,-217.41,18661.9844
107,-223.2421,2.1893,10.9583,0.64,16,9,25,2,23,-223.3091,19185.6934
108,-215.1179,2.119,10.6091,0.72,18,7,25,3,22,-219.3375,18098.9023
109,-219.4269,2.1263,10.6447,0.64,16,9,25,6,19,-216.5621,18360.582
110,-191.6859,1.999,10.0081,0.6957,16,7,23,5,18,-191.5496,14438.2959
111,-232.7325,2.3451,11.7389,0.64,16,9,25,5,20,-226.1071,20741.2168
112,-221.0908,2.1528,10.7819,0.64,16,9,25,6,19,-227.1582,18409.9219
113,-227.1573,2.2539,11.2802,0.64,16,9,25,7,18,-221.9483,19413.959
114,-202.0095,1.9274,9.6509,0.72,18,7,25,3,22,-203.9942,16508.2266
115,-199.2092,1.7937,8.9821,0.64,16,9,25,4,21,-198.1355,15288.8701
116,-195.4314,1.7841,8.9355,0.68,17,8,25,7,18,-202.4307,15098.8916
117,-200.5404,1.8154,9.0916,0.64,16,9,25,5,20,-201.8832,15359.3027
118,-196.5823,1.8021,9.0245,0.68,17,8,25,3,22,-197.0091,14694.8936
119,-223.7422,2.2228,11.1266,0.68,17,8,25,3,22,-217.4387,18829.377
120,-198.6583,1.949,9.7592,0.6667,16,8,24,5,19,-195.1755,14921.1455
121,-185.2573,1.7286,8.6571,0.6667,16,8,24,6,18,-186.0403,12825.2061
122,-203.7966,1.9134,9.583,0.68,17,8,25,2,23,-209.0661,16767.4043
123,-177.0337,1.5929,7.981,0.6667,16,8,24,5,19,-180.0329,12196.4932
124,-181.5558,1.6673,8.3529,0.6667,16,8,24,5,19,-184.0089,13077.5469
125,-192.8941,1.69,8.4627,0.64,16,9,25,6,19,-197.3889,14260.5527
126,-215.2176,2.0907,10.4668,0.68,17,8,25,2,23,-214.2509,17903.543
127,-254.1368,2.6969,13.4992,0.64,16,9,25,2,23,-239.6247,23283.5098
128,-247.8281,2.5955,12.9908,0.68,17,8,25,5,20,-246.095,23108.4824
129,-226.5399,2.2177,11.101,0.6,15,10,25,3,22,-219.4949,18870.4219
130,-202.2223,1.8888,9.4613,0.68,17,8,25,3,22,-206.0031,15756.1553
131,-206.3384,1.9103,9.5687,0.64,16,9,25,4,21,-207.9339,16153.0859
132,-189.3039,1.844,9.2352,0.7083,17,7,24,10,14,-185.3361,13175.5674
133,-195.4506,1.9392,9.711,0.7083,17,7,24,3,21,-197.1029,14655.2188
134,-197.8863,1.7719,8.8733,0.64,16,9,25,4,21,-196.2059,15036.3125
135,-207.6525,2.2832,11.4293,0.7391,17,6,23,5,18,-212.9755,17485.6719
136,-217.8603,2.1589,10.8097,0.72,18,7,25,5,20,-212.078,18204.5703
137,-189.3706,1.489,7.4609,0.56,14,11,25,6,19,-191.5392,13728.1641
138,-199.1079,2.3058,11.5419,0.7727,17,5,22,4,18,-201.5946,16180.3477
139,-193.2845,1.6957,8.4951,0.64,16,9,25,4,21,-196.739,14240.0615
140,-206.3504,1.9532,9.7806,0.68,17,8,25,7,18,-207.8489,16784.5684
141,-205.5999,1.9797,9.9135,0.72,18,7,25,4,21,-215.7959,16841.875
142,-193.4707,1.6995,8.5101,0.64,16,9,25,4,21,-201.6153,14935.3516
143,-171.9708,1.4356,7.1915,0.625,15,9,24,4,20,-175.9727,11943.1445
144,-179.9043,1.5748,7.8874,0.625,15,9,24,9,15,-181.622,12491.2822
145,-184.4413,1.7207,8.619,0.76,19,6,25,3,22,-196.9202,13685.3936
146,-205.7458,1.9441,9.7337,0.68,17,8,25,3,22,-208.0882,16822.3105
147,-187.7971,1.6657,8.3447,0.68,17,8,25,5,20,-189.0338,13824.0527
148,-232.2533,2.317,11.6026,0.6,15,10,25,3,22,-232.5123,20622.1777
149,-179.7194,1.4729,7.3794,0.64,16,9,25,3,22,-188.9319,12624.5137
150,-205.33,2.092,10.4757,0.7083,17,7,24,4,20,-201.7872,16126.1182
151,-214.3509,2.2317,11.1739,0.7083,17,7,24,3,21,-218.3259,17551.5527
152,-203.6966,1.9117,9.5754,0.68,17,8,25,2,23,-211.5314,15968.0342
153,-215.5782,2.152,10.7753,0.76,19,6,25,3,22,-215.2026,17504.3047
154,-193.2839,1.7514,8.7691,0.68,17,8,25,3,22,-200.8616,14674.3037
155,-217.5504,2.2352,11.1897,0.625,15,9,24,3,21,-212.3545,18284.9434
156,-210.4983,2.1115,10.5711,0.625,15,9,24,5,19,-208.0047,16874.248
157,-199.0218,1.8401,9.2132,0.68,17,8,25,2,23,-200.8158,15245.582
158,-178.2743,1.8289,9.1552,0.7391,17,6,23,3,20,-184.4244,12530.5938
159,-218.2881,2.1074,10.5511,0.64,16,9,25,5,20,-207.6271,17327.1289
160,-191.6206,1.7256,8.6403,0.68,17,8,25,5,20,-194.3575,13687.9248
161,-196.9564,1.8075,9.0536,0.68,17,8,25,4,21,-197.8064,14952.0635
162,-207.5699,1.9723,9.8767,0.5417,13,11,24,4,20,-204.5132,15697.5117
163,-212.6991,2.0761,10.3959,0.5417,13,11,24,2,22,-205.0602,16180.6826
164,-207.8186,2.0644,10.3361,0.625,15,9,24,3,21,-203.1465,16100.1416
165,-231.0108,2.2717,11.3745,0.56,14,11,25,5,20,-214.6646,18756.6406
166,-194.0794,1.7635,8.8307,0.68,17,8,25,6,19,-191.5078,14352.5352
167,-214.1335,2.0387,10.2096,0.64,16,9,25,5,20,-214.8964,17302.0684
168,-224.7137,2.2129,11.0796,0.64,16,9,25,5,20,-216.8303,18887.0977
169,-204.8972,1.9695,9.8621,0.72,18,7,25,4,21,-203.2404,15999.0
170,-224.3419,2.2318,11.1731,0.68,17,8,25,5,20,-218.9581,18417.5449
171,-196.3915,1.7468,8.7506,0.64,16,9,25,3,22,-198.3142,14570.3633
172,-208.428,1.9852,9.9415,0.68,17,8,25,5,20,-213.8496,16907.1582
173,-201.6837,1.8809,9.4194,0.68,17,8,25,9,16,-206.7748,15854.9502
174,-243.1861,2.5167,12.5987,0.64,16,9,25,7,18,-235.1668,21765.8047
175,-195.9717,1.7407,8.7158,0.64,16,9,25,2,23,-206.3139,14923.7686
176,-206.0531,2.071,10.3672,0.6667,16,8,24,1,23,-210.4867,16978.8047
177,-196.6737,1.9167,9.5959,0.6667,16,8,24,3,21,-196.733,15216.9541
178,-222.6099,2.2047,11.0392,0.68,17,8,25,2,23,-226.8499,19185.9844
179,-238.7502,2.4443,12.2337,0.64,16,9,25,2,23,-225.7232,20678.7246
180,-219.7736,2.1616,10.8193,0.68,17,8,25,4,21,-227.9744,18494.3105
