episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
72,-241.8131,2.5089,12.5607,0.72,18,7,25,3,22,-236.6075,22086.6172
73,-210.9357,2.1513,10.7687,0.6667,16,8,24,6,18,-217.6769,18217.7363
74,-216.6323,2.245,11.2372,0.6667,16,8,24,6,18,-226.11,19598.5137
75,-205.6272,1.942,9.7246,0.68,17,8,25,7,18,-219.4614,18207.207
76,-177.1368,1.6559,8.2934,0.7083,17,7,24,5,19,-193.1467,13472.9688
77,-168.4367,1.5213,7.62,0.7083,17,7,24,5,19,-185.2122,12300.7236
78,-203.141,1.8072,9.0484,0.6,15,10,25,6,19,-224.1431,17105.8613
79,-221.3195,2.4952,12.4869,0.7391,17,6,23,5,18,-224.4463,19213.25
80,-229.518,2.2919,11.4747,0.64,16,9,25,4,21,-229.9663,20746.1348
81,-202.2029,1.8425,9.2285,0.64,16,9,25,6,19,-204.4008,15919.8789
82,-201.3676,1.9182,9.6039,0.72,18,7,25,5,20,-217.6706,16555.2734
83,-229.9206,2.3179,11.605,0.68,17,8,25,4,21,-240.1196,21693.2773
84,-206.6351,1.8681,9.3551,0.6,15,10,25,3,22,-218.2275,17253.502
85,-212.1953,1.9662,9.8426,0.6,15,10,25,3,22,-218.2883,17681.9297
86,-221.7498,2.3286,11.6583,0.6667,16,8,24,6,18,-240.3405,19899.6973
87,-236.7915,2.576,12.8953,0.6667,16,8,24,9,15,-235.7459,21940.1816
88,-206.4833,1.8111,9.0691,0.56,14,11,25,5,20,-203.7607,16816.5527
89,-220.5158,2.1438,10.7344,0.64,16,9,25,3,22,-220.2327,18725.6445
90,-200.8393,1.8681,9.3539,0.68,17,8,25,6,19,-219.3869,17171.0801
91,-169.0442,1.3755,6.8932,0.68,17,8,25,7,18,-182.6486,11973.79
92,-203.0423,1.9429,9.7262,0.72,18,7,25,9,16,-209.1903,16308.8564
93,-202.9424,1.9409,9.7192,0.72,18,7,25,2,23,-215.2574,17476.9395
94,-234.1042,2.4088,12.0582,0.76,19,6,25,4,21,-246.5195,22396.4004
95,-231.5393,2.3434,11.7301,0.68,17,8,25,2,23,-243.1276,22481.6855
96,-208.3623,1.9441,9.7349,0.64,16,9,25,2,23,-209.8713,18086.7246
97,-195.7023,1.8774,9.3986,0.76,19,6,25,4,21,-199.7906,15555.3662
98,-189.5412,1.6942,8.4791,0.68,17,8,25,4,21,-202.3557,15103.874
99,-213.0878,2.1569,10.7983,0.625,15,9,24,7,17,-223.5866,19071.1934
100,-187.0934,1.7008,8.5181,0.625,15,9,24,7,17,-192.2385,14425.4102
